"country","mp","party","perceived","true","shift","stretch","shift_country","stretch_country"
"b","1_b",1,-0.736358542297072,-0.437418814022422,0.0200853923484933,1.72885751827973,0.00434043933789706,0.341113736115777
"b","1_b",2,1.47271708459414,-0.289960212406934,0.0200853923484933,1.72885751827973,0.00434043933789706,0.341113736115777
"b","1_b",3,-0.736358542297072,0.0173210874445562,0.0200853923484933,1.72885751827973,0.00434043933789706,0.341113736115777
"b","1_b",4,0,0.400554667038817,0.0200853923484933,1.72885751827973,0.00434043933789706,0.341113736115777
"b","2_b",1,0,-0.437418814022422,0.0408157413487481,0.705490821149866,0.00434043933789706,0.341113736115777
"b","2_b",2,-0.736358542297072,-0.289960212406934,0.0408157413487481,0.705490821149866,0.00434043933789706,0.341113736115777
"b","2_b",3,-1.47271708459414,0.0173210874445562,0.0408157413487481,0.705490821149866,0.00434043933789706,0.341113736115777
"b","2_b",4,0.736358542297072,0.400554667038817,0.0408157413487481,0.705490821149866,0.00434043933789706,0.341113736115777
"b","3_b",1,-1.47271708459414,-0.437418814022422,0.0383295377170134,1.28040770842027,0.00434043933789706,0.341113736115777
"b","3_b",2,0,-0.289960212406934,0.0383295377170134,1.28040770842027,0.00434043933789706,0.341113736115777
"b","3_b",3,-0.736358542297072,0.0173210874445562,0.0383295377170134,1.28040770842027,0.00434043933789706,0.341113736115777
"b","3_b",4,0.736358542297072,0.400554667038817,0.0383295377170134,1.28040770842027,0.00434043933789706,0.341113736115777
"b","4_b",1,0,-0.437418814022422,-0.0216462262089229,1.28845341574382,0.00434043933789706,0.341113736115777
"b","4_b",2,0,-0.289960212406934,-0.0216462262089229,1.28845341574382,0.00434043933789706,0.341113736115777
"b","4_b",3,-0.736358542297072,0.0173210874445562,-0.0216462262089229,1.28845341574382,0.00434043933789706,0.341113736115777
"b","4_b",4,-0.736358542297072,0.400554667038817,-0.0216462262089229,1.28845341574382,0.00434043933789706,0.341113736115777
"b","5_b",1,-2.20907562689122,-0.437418814022422,0.0280718181595756,1.7059762293508,0.00434043933789706,0.341113736115777
"b","5_b",2,-2.20907562689122,-0.289960212406934,0.0280718181595756,1.7059762293508,0.00434043933789706,0.341113736115777
"b","5_b",3,-0.736358542297072,0.0173210874445562,0.0280718181595756,1.7059762293508,0.00434043933789706,0.341113736115777
"b","5_b",4,0,0.400554667038817,0.0280718181595756,1.7059762293508,0.00434043933789706,0.341113736115777
"b","6_b",1,0.736358542297072,-0.437418814022422,0.0479034726624772,1.47967945428354,0.00434043933789706,0.341113736115777
"b","6_b",2,0,-0.289960212406934,0.0479034726624772,1.47967945428354,0.00434043933789706,0.341113736115777
"b","6_b",3,0.736358542297072,0.0173210874445562,0.0479034726624772,1.47967945428354,0.00434043933789706,0.341113736115777
"b","6_b",4,0.736358542297072,0.400554667038817,0.0479034726624772,1.47967945428354,0.00434043933789706,0.341113736115777
"b","7_b",1,0.736358542297072,-0.437418814022422,-0.0454795819853979,1.17804869612149,0.00434043933789706,0.341113736115777
"b","7_b",2,0,-0.289960212406934,-0.0454795819853979,1.17804869612149,0.00434043933789706,0.341113736115777
"b","7_b",3,0,0.0173210874445562,-0.0454795819853979,1.17804869612149,0.00434043933789706,0.341113736115777
